Tаблица 1
№;Описание сценария;Ожидаемый результат;Оценка трудозатрат;;;;;;;;;;;;;;;;;;;;;;;
;;;План (мин.);Факт (мин.);;Примечание: столбец «Факт (мин.)» надо будет заполнить чуть позже, при непосредственном выполнении регресса в задании 1.9. ;;;;;;;;;;;;;;;;;;;;
1;"Просмотр товара через блок ""Книги, планшеты, фотоаппараты"" на главной странице 
1. нажать на кнопку ""Посмотреть"" ";переход в каталог;2;1;;;;;;;;;;;;;;;;;;;;;;
2;"Просмотр товара  через блок ""Распродажа"" на главной странице 
1. нажать на карточку товара этого блока";переход в карточку товара;2;1;;;;;;;;;;;;;;;;;;;;;;
3;"Просмотр списка товаров в блоке ""Распродажа""
1. нажать на ""стрелки"" вперед-назад";"просмотр всех карточек товара с пометкой ""скидка""";2;1;;;;;;;;;;;;;;;;;;;;;;
4;"Просмотр товара через рекламный банер на главной странице 
1. нажать на кнопку ""Посмотреть товар""";переход в карточку товара;2;1;;;;;;;;;;;;;;;;;;;;;;
5;"Просмотр товара через блок ""Новые поступления"" на главной странице 
1. нажать на карточку товара этого блока или кнопку ""Read more""";переход в карточку товара;2;1;;;;;;;;;;;;;;;;;;;;;;
6;"Просмотр списка товаров в блоке ""Новые поступления""
1. нажать на ""стрелки"" вперед-назад";"просмотр всех карточек товара с пометкой ""новый""";2;1;;;;;;;;;;;;;;;;;;;;;;
7;"Просмотр товара через блок ""Просмотренные товары"" на главной странице 
1. нажать на карточку товара";переход в карточку товара;2;1;;;;;;;;;;;;;;;;;;;;;;
8;"Просмотр товара через нижний блок ""Страница сайта""
1. нажать на вкладку ""Все товары""
";переход в каталог;2;1;;;;;;;;;;;;;;;;;;;;;;
9;"Просмотр товара через нижний блок ""Страница сайта""
1. нажать на вкладку ""Главная"" ";переход на главную страницу;2;1;;;;;;;;;;;;;;;;;;;;;;
10;"Просмотр товара в каталоге
1. нажать на вкладку ""Каталог""
";переход в каталог;2;1;;;;;;;;;;;;;;;;;;;;;;
11;"Выбор категории товара
1. нажать на вкладку ""Каталог"" 
2. нажать на название из списка
*нажать на категорию в самом каталоге
*нажать на ссылку на категорию в карточке товара";переход в выбранную категорию;2;1;;;;;;;;;;;;;;;;;;;;;;
